callsign,de_pfx,de_cont,freq,band,dx,dx_pfx,dx_cont,mode,db,date,speed,tx_mode
TF3Y,TF,EU,7037.2,40m,S59L,S5,EU,CQ,8,2025-11-29 00:00:00,30,CW
TF3Y,TF,EU,7030.3,40m,M6T,G,EU,CQ,10,2025-11-29 00:00:00,36,CW
K9IMM,K,NA,7027,40m,DK9PY,DL,EU,CQ,24,2025-11-29 00:00:00,32,CW
K9IMM,K,NA,7014.7,40m,II1X,I,EU,CQ,23,2025-11-29 00:00:00,38,CW
K9IMM,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,14,2025-11-29 00:00:00,35,CW
K9IMM,K,NA,7050.4,40m,UA7K,UA,EU,CQ,27,2025-11-29 00:00:00,39,CW
K9IMM,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,21,2025-11-29 00:00:00,39,CW
N8DXE,K,NA,7032,40m,9A2L,9A,EU,CQ,33,2025-11-29 00:00:00,30,CW
N8DXE,K,NA,7019,40m,RM4F,UA,EU,CQ,17,2025-11-29 00:00:00,33,CW
W3RGA,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,34,2025-11-29 00:00:00,37,CW
W3RGA,K,NA,7032,40m,9A2L,9A,EU,CQ,28,2025-11-29 00:00:00,31,CW
IK7YTT,I,EU,7003.3,40m,BG0DLA,BY,AS,CQ,17,2025-11-29 00:00:00,29,CW
IK7YTT,I,EU,7055.7,40m,CQ9A,CT3,AF,CQ,17,2025-11-29 00:00:00,38,CW
IK7YTT,I,EU,7056.5,40m,UP4L,UN,AS,CQ,21,2025-11-29 00:00:00,30,CW
IK7YTT,I,EU,7002,40m,AA4NC,K,NA,CQ,9,2025-11-29 00:00:00,38,CW
KM3T-2,K,NA,7027,40m,DK9PY,DL,EU,CQ,22,2025-11-29 00:00:00,33,CW
KM3T-2,K,NA,7014.7,40m,II1X,I,EU,CQ,24,2025-11-29 00:00:00,37,CW
KM3T-2,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,14,2025-11-29 00:00:00,40,CW
KM3T-2,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,13,2025-11-29 00:00:00,35,CW
KM3T-2,K,NA,7036.8,40m,YT4T,YU,EU,CQ,7,2025-11-29 00:00:00,28,CW
KM3T-2,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,23,2025-11-29 00:00:00,39,CW
BG0AJO,BY,AS,7011.2,40m,S52AW,S5,EU,CQ,7,2025-11-29 00:00:00,37,CW
BG0AJO,BY,AS,7056.5,40m,UP4L,UN,AS,CQ,14,2025-11-29 00:00:00,29,CW
F4GOU,F,EU,7036.5,40m,IB9R,IT9,EU,CQ,15,2025-11-29 00:00:00,32,CW
F4GOU,F,EU,7009.3,40m,NR4M,K,NA,CQ,33,2025-11-29 00:00:00,36,CW
F4GOU,F,EU,7026.2,40m,IU8RIA,I,EU,CQ,11,2025-11-29 00:00:00,30,CW
KD2OGR,K,NA,7027,40m,DK9PY,DL,EU,CQ,17,2025-11-29 00:00:00,33,CW
KD2OGR,K,NA,7010.1,40m,RU1A,UA,EU,CQ,14,2025-11-29 00:00:00,37,CW
KD2OGR,K,NA,7014.7,40m,II1X,I,EU,CQ,12,2025-11-29 00:00:00,36,CW
G0KTN,G,EU,7009.3,40m,NR4M,K,NA,CQ,21,2025-11-29 00:00:00,35,CW
G0KTN,G,EU,7055.7,40m,CQ9A,CT3,AF,CQ,12,2025-11-29 00:00:00,41,CW
G0KTN,G,EU,7001.8,40m,RW4W,UA,EU,CQ,8,2025-11-29 00:00:00,34,CW
W8WWV,K,NA,7014.7,40m,II1X,I,EU,CQ,26,2025-11-29 00:00:00,37,CW
W8WWV,K,NA,7000.5,40m,YT5W,YU,EU,CQ,7,2025-11-29 00:00:00,32,CW
W8WWV,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,25,2025-11-29 00:00:00,41,CW
W8WWV,K,NA,7060.1,40m,T70A,T7,EU,CQ,18,2025-11-29 00:00:00,38,CW
K5TR,K,NA,7049.4,40m,N3RS,K,NA,CQ,29,2025-11-29 00:00:00,32,CW
DK9IP-1,DL,EU,7055.7,40m,CQ9A,CT3,AF,CQ,18,2025-11-29 00:00:01,42,CW
DK9IP-1,DL,EU,7010,40m,AI5IN,K,NA,CQ,8,2025-11-29 00:00:01,28,CW
G4ZFE,G,EU,7033.1,40m,RL3A,UA,EU,CQ,21,2025-11-29 00:00:01,37,CW
G4ZFE,G,EU,7046,40m,P3CR,5B,AS,CQ,13,2025-11-29 00:00:01,33,CW
G4ZFE,G,EU,7034.7,40m,KP2M,KP2,NA,CQ,29,2025-11-29 00:00:01,38,CW
JN1ILK,JA,AS,7030.6,40m,E7/DJ4MX,E7,EU,CQ,18,2025-11-29 00:00:01,39,CW
JN1ILK,JA,AS,7006,40m,IK2PFL,I,EU,CQ,12,2025-11-29 00:00:01,32,CW
W3DAN,K,NA,7032,40m,9A2L,9A,EU,CQ,34,2025-11-29 00:00:01,28,CW
W3DAN,K,NA,7029.7,40m,II9P,IT9,EU,CQ,55,2025-11-29 00:00:01,36,CW
SP5GQ,SP,EU,7055.7,40m,CQ9A,CT3,AF,CQ,10,2025-11-29 00:00:01,41,CW
YO2KAR,YO,EU,7055.7,40m,CQ9A,CT3,AF,CQ,30,2025-11-29 00:00:01,43,CW
YO2KAR,YO,EU,7056.5,40m,UP4L,UN,AS,CQ,23,2025-11-29 00:00:01,30,CW
HA6PX,HA,EU,7055.7,40m,CQ9A,CT3,AF,CQ,30,2025-11-29 00:00:01,37,CW
AC0C-1,K,NA,7014.9,40m,YT9X,YU,EU,CQ,9,2025-11-29 00:00:01,35,CW
AC0C-1,K,NA,7014.7,40m,II1X,I,EU,CQ,19,2025-11-29 00:00:01,33,CW
AC0C-1,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,24,2025-11-29 00:00:01,37,CW
AC0C-1,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,28,2025-11-29 00:00:01,37,CW
F6KOP,F,EU,7018.4,40m,RC6U,UA,EU,CQ,28,2025-11-29 00:00:01,39,CW
F6KOP,F,EU,7005.2,40m,KB3WD,K,NA,CQ,23,2025-11-29 00:00:01,34,CW
F6KOP,F,EU,7007.7,40m,UA4M,UA,EU,CQ,25,2025-11-29 00:00:01,33,CW
F6KOP,F,EU,7008.8,40m,KC1XX,K,NA,CQ,29,2025-11-29 00:00:01,33,CW
F6KOP,F,EU,7049.6,40m,N3RS,K,NA,CQ,11,2025-11-29 00:00:01,30,CW
K9LC,K,NA,7018,40m,PW2K,PY,SA,CQ,29,2025-11-29 00:00:01,32,CW
